Site,Date,device_number,PM25_CinC,PM25_EPA_FRM
0034,2025-03-02,2,2.676228571428571,2.9
0034,2025-03-02,20,3.2264166666666667,2.9
0034,2025-03-02,24,2.5968085106382977,2.9
0034,2025-03-02,3,3.1185510204081632,2.9
0034,2025-03-05,11,4.861363636363636,4.2
0034,2025-03-05,15,4.117181818181818,4.2
0034,2025-03-05,2,3.82765,4.2
0034,2025-03-05,20,4.667411764705882,4.2
0034,2025-03-05,24,4.081708333333333,4.2
0034,2025-03-05,3,4.182895833333333,4.2
0034,2025-03-08,15,1.4652222222222222,2.9
0034,2025-03-08,2,12.79179411764706,2.9
0034,2025-03-08,20,10.43718,2.9
0034,2025-03-08,24,7.980250000000001,2.9
0034,2025-03-08,3,9.609086956521738,2.9
0034,2025-03-11,15,6.097714285714286,5.5
0034,2025-03-11,2,5.250147058823529,5.5
0034,2025-03-11,20,4.9095625,5.5
0034,2025-03-11,24,4.717071428571429,5.5
0034,2025-03-11,3,4.295285714285714,5.5
0034,2025-03-14,15,12.0394,10.3
0034,2025-03-14,2,8.874526315789474,10.3
0034,2025-03-14,24,9.71270588235294,10.3
0034,2025-03-14,3,7.648755102040816,10.3
0034,2025-03-17,11,2.737,2.8
0034,2025-03-17,15,4.211,2.8
0034,2025-03-17,2,2.4621,2.8
0034,2025-03-17,24,2.4728771929824562,2.8
0034,2025-03-17,3,3.0280612244897958,2.8
0034,2025-03-20,11,4.492214285714286,4.6
0034,2025-03-20,15,2.70005,4.6
0034,2025-03-20,2,3.6082424242424245,4.6
0034,2025-03-20,24,3.36725,4.6
0034,2025-03-20,3,3.0496250000000003,4.6
0034,2025-03-23,11,3.9986774193548387,3.9
0034,2025-03-23,15,4.784708333333334,3.9
0034,2025-03-23,2,3.9062432432432432,3.9
0034,2025-03-23,24,4.62159649122807,3.9
0034,2025-03-23,3,4.143666666666666,3.9
0034,2025-03-26,11,3.7244848484848485,4.2
0034,2025-03-26,15,3.8584583333333335,4.2
0034,2025-03-26,2,3.2151666666666667,4.2
0034,2025-03-26,24,3.1815192307692306,4.2
0034,2025-03-26,3,3.3948541666666667,4.2
0034,2025-03-29,11,10.479763157894737,11
0034,2025-03-29,15,8.371,11
0034,2025-03-29,2,9.0884,11
0034,2025-03-29,24,9.182857142857143,11
0034,2025-03-29,3,9.58882,11
0034,2025-04-01,11,3.97788,3.9
0034,2025-04-01,15,2.778875,3.9
0034,2025-04-01,2,3.1638965517241378,3.9
0034,2025-04-01,24,2.94259649122807,3.9
0034,2025-04-01,3,2.946510204081633,3.9
0034,2025-04-04,11,3.21896,4.4
0034,2025-04-04,15,3.3966153846153846,4.4
0034,2025-04-04,2,2.0785151515151514,4.4
0034,2025-04-04,24,2.6981964285714284,4.4
0034,2025-04-04,3,2.486375,4.4
0034,2025-04-07,11,6.776590909090909,5.9
0034,2025-04-07,15,8.30952380952381,5.9
0034,2025-04-07,2,7.364947368421053,5.9
0034,2025-04-07,24,6.230894736842106,5.9
0034,2025-04-07,3,5.836978723404256,5.9
0034,2025-04-10,11,10.767764705882353,8.9
0034,2025-04-10,15,12.933349999999999,8.9
0034,2025-04-10,2,20.170666666666666,8.9
0034,2025-04-10,24,17.081087719298246,8.9
0034,2025-04-10,3,12.128041666666666,8.9
0034,2025-04-13,11,7.496103448275862,7.2
0034,2025-04-13,15,10.009941176470589,7.2
0034,2025-04-13,2,12.264513513513513,7.2
0034,2025-04-13,24,6.687945454545455,7.2
0034,2025-04-13,3,6.418530612244897,7.2
0034,2025-04-16,11,3.311,4.2
0034,2025-04-16,15,2.405851851851852,4.2
0034,2025-04-16,2,2.7971290322580646,4.2
0034,2025-04-16,24,2.758111111111111,4.2
0034,2025-04-16,3,2.8886530612244896,4.2
0034,2025-04-19,11,11.20312,8.8
0034,2025-04-19,15,11.568181818181818,8.8
0034,2025-04-19,2,9.921351351351351,8.8
0034,2025-04-19,24,10.258735849056603,8.8
0034,2025-04-19,3,10.517212765957447,8.8
0034,2025-04-22,11,2.27109375,3.7
0034,2025-04-22,15,2.2245333333333335,3.7
0034,2025-04-22,2,1.8165200000000001,3.7
0034,2025-04-22,24,1.996125,3.7
