epa_site,cleancle_device,latitude.x,longitude.x,location_name,device_eui,latitude.y,longitude.y,distance_km
0034,28,41.55523,-81.575256,Metro Health Hospital,0004A30B00086AC2,41.46308,-81.69823,14.502332177897761
0038,28,41.477011,-81.682383,Metro Health Hospital,0004A30B00086AC2,41.46308,-81.69823,2.0376914432958904
0045,28,41.471782,-81.656792,Metro Health Hospital,0004A30B00086AC2,41.46308,-81.69823,3.5897365663098366
0060,28,41.492117,-81.678449,Metro Health Hospital,0004A30B00086AC2,41.46308,-81.69823,3.62906008850143
0065,28,41.446624,-81.662356,Metro Health Hospital,0004A30B00086AC2,41.46308,-81.69823,3.5091212211845515
0034,13,41.55523,-81.575256,Detroit Shoreway,0004A30B00085E91,41.489571,-81.71175,13.521732803010893
0038,13,41.477011,-81.682383,Detroit Shoreway,0004A30B00085E91,41.489571,-81.71175,2.820065421283382
0045,13,41.471782,-81.656792,Detroit Shoreway,0004A30B00085E91,41.489571,-81.71175,4.992894830360384
0060,13,41.492117,-81.678449,Detroit Shoreway,0004A30B00085E91,41.489571,-81.71175,2.791235408258104
0065,13,41.446624,-81.662356,Detroit Shoreway,0004A30B00085E91,41.489571,-81.71175,6.31127798757158
0034,18,41.55523,-81.575256,Cudell Recreation Center,0004A30B00088CBC,41.47918,-81.75257,17.032298829261276
0038,18,41.477011,-81.682383,Cudell Recreation Center,0004A30B00088CBC,41.47918,-81.75257,5.858682909685334
0045,18,41.471782,-81.656792,Cudell Recreation Center,0004A30B00088CBC,41.47918,-81.75257,8.030695108964464
0060,18,41.492117,-81.678449,Cudell Recreation Center,0004A30B00088CBC,41.47918,-81.75257,6.346639661408349
0065,18,41.446624,-81.662356,Cudell Recreation Center,0004A30B00088CBC,41.47918,-81.75257,8.352913402680988
0034,17,41.55523,-81.575256,GT Craig Monitoring Site Collocated Sensor,0004A30B00087263,41.49212,-81.67856,11.112243744207419
0034,17,41.55523,-81.575256,Michael Zone Recreation Center,0004A30B00087263,41.47473,-81.72846,15.60066592052189
0038,17,41.477011,-81.682383,GT Craig Monitoring Site Collocated Sensor,0004A30B00087263,41.49212,-81.67856,1.7118752890803097
0038,17,41.477011,-81.682383,Michael Zone Recreation Center,0004A30B00087263,41.47473,-81.72846,3.851405176106579
0045,17,41.471782,-81.656792,GT Craig Monitoring Site Collocated Sensor,0004A30B00087263,41.49212,-81.67856,2.9019582853465704
0045,17,41.471782,-81.656792,Michael Zone Recreation Center,0004A30B00087263,41.47473,-81.72846,5.986670732425329
0060,17,41.492117,-81.678449,GT Craig Monitoring Site Collocated Sensor,0004A30B00087263,41.49212,-81.67856,0.009261593165835512
0060,17,41.492117,-81.678449,Michael Zone Recreation Center,0004A30B00087263,41.47473,-81.72846,4.59788531867137
0065,17,41.446624,-81.662356,GT Craig Monitoring Site Collocated Sensor,0004A30B00087263,41.49212,-81.67856,5.241847585186794
0065,17,41.446624,-81.662356,Michael Zone Recreation Center,0004A30B00087263,41.47473,-81.72846,6.340386639533963
0034,30,41.55523,-81.575256,Michael Zone Recreation Center,0004A30B0008173D,41.47473,-81.72846,15.60066592052189
0038,30,41.477011,-81.682383,Michael Zone Recreation Center,0004A30B0008173D,41.47473,-81.72846,3.851405176106579
0045,30,41.471782,-81.656792,Michael Zone Recreation Center,0004A30B0008173D,41.47473,-81.72846,5.986670732425329
0060,30,41.492117,-81.678449,Michael Zone Recreation Center,0004A30B0008173D,41.47473,-81.72846,4.59788531867137
0065,30,41.446624,-81.662356,Michael Zone Recreation Center,0004A30B0008173D,41.47473,-81.72846,6.340386639533963
0034,9,41.55523,-81.575256,GT Craig EPA Collocated Sensor,0004A30B000864E5,41.49211,-81.67856,11.11294807585221
0038,9,41.477011,-81.682383,GT Craig EPA Collocated Sensor,0004A30B000864E5,41.49211,-81.67856,1.7107815865628941
0045,9,41.471782,-81.656792,GT Craig EPA Collocated Sensor,0004A30B000864E5,41.49211,-81.67856,2.901089977239789
0060,9,41.492117,-81.678449,GT Craig EPA Collocated Sensor,0004A30B000864E5,41.49211,-81.67856,0.00928831536692166
0065,9,41.446624,-81.662356,GT Craig EPA Collocated Sensor,0004A30B000864E5,41.49211,-81.67856,5.240772068350907
0034,6,41.55523,-81.575256,East 30th and Perkins,0004A30B00083B9C,41.50541,-81.66791,9.506588830200684
0038,6,41.477011,-81.682383,East 30th and Perkins,0004A30B00083B9C,41.50541,-81.66791,3.3838796161611855
0045,6,41.471782,-81.656792,East 30th and Perkins,0004A30B00083B9C,41.50541,-81.66791,3.8565478640068824
0060,6,41.492117,-81.678449,East 30th and Perkins,0004A30B00083B9C,41.50541,-81.66791,1.720991887241103
0065,6,41.446624,-81.662356,East 30th and Perkins,0004A30B00083B9C,41.50541,-81.66791,6.560402149319933
