location_name,latitude,longitude,device_number,device_eui,time,measure_name,value
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T11:32:58Z,mc_pm2_5,2.722
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T11:02:44Z,mc_pm2_5,2.722
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T10:42:42Z,mc_pm2_5,4.781
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T10:32:44Z,mc_pm2_5,4.781
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T10:02:44Z,mc_pm2_5,4.292
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T09:32:44Z,mc_pm2_5,1.89
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T09:02:44Z,mc_pm2_5,0.688
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T08:32:44Z,mc_pm2_5,4.368
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T08:02:43Z,mc_pm2_5,3.889
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T07:32:43Z,mc_pm2_5,5.468
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T07:17:28Z,mc_pm2_5,8.428
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T07:02:42Z,mc_pm2_5,8.428
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T06:32:42Z,mc_pm2_5,3.877
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T06:02:42Z,mc_pm2_5,16.24
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T05:32:42Z,mc_pm2_5,15.563
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T05:02:42Z,mc_pm2_5,12.792
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T04:32:42Z,mc_pm2_5,9.962
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T04:15:06Z,mc_pm2_5,7.912
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T04:02:42Z,mc_pm2_5,7.912
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-22T03:49:32Z,mc_pm2_5,8.65
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T03:32:42Z,mc_pm2_5,10.495
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T03:02:42Z,mc_pm2_5,13.555
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-22T02:57:10Z,mc_pm2_5,12.628
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-22T02:45:05Z,mc_pm2_5,18.637
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T02:32:42Z,mc_pm2_5,13.079
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-22T02:27:12Z,mc_pm2_5,18.637
