"device_number","time","value"
24,2025-01-14 06:11:54.337,2.834
3,2025-01-14 06:10:13.707,4.145
9,2025-01-14 06:09:55.009,4.744
23,2025-01-14 06:09:08.69,5.413
13,2025-01-14 06:07:34.146,9.474
2,2025-01-14 06:06:44.697,2.953
1,2025-01-14 06:06:05.572,3.718
28,2025-01-14 06:04:13.639,3.148
21,2025-01-14 06:03:41.82,1.427
30,2025-01-14 06:01:26.302,2.091
30,2025-01-14 05:58:44.034,2.347
25,2025-01-14 05:58:29.141,3.184
27,2025-01-14 05:54:11.027,2.89
12,2025-01-14 05:52:26.023,4.485
30,2025-01-14 05:50:56.336,2.347
20,2025-01-14 05:50:01.912,2.583
7,2025-01-14 05:46:48.368,2.873
18,2025-01-14 05:42:17.236,3.883
24,2025-01-14 05:41:54.324,2.7
30,2025-01-14 05:40:26.401,1.809
3,2025-01-14 05:40:13.662,2.164
9,2025-01-14 05:39:54.967,2.04
23,2025-01-14 05:39:08.619,3.406
13,2025-01-14 05:37:34.039,7.787
30,2025-01-14 05:37:02.654,2.376
2,2025-01-14 05:36:44.672,4.899
28,2025-01-14 05:34:13.564,7.774
21,2025-01-14 05:33:41.755,7.685
8,2025-01-14 05:33:36.335,2.803
30,2025-01-14 05:29:56.575,2.376
25,2025-01-14 05:28:29.137,6.714
27,2025-01-14 05:24:11.018,9.485
12,2025-01-14 05:22:25.99,6.622
27,2025-01-14 05:21:18.812,2.864
20,2025-01-14 05:20:01.959,3.409
28,2025-01-14 05:19:47.832,13.689
30,2025-01-14 05:19:25.477,4.937
18,2025-01-14 05:12:17.155,7.274
24,2025-01-14 05:11:54.333,5.134
3,2025-01-14 05:10:13.648,1.586
9,2025-01-14 05:09:54.492,1.891
23,2025-01-14 05:09:08.607,1.457
30,2025-01-14 05:08:55.565,2.009
13,2025-01-14 05:07:33.94,5.348
28,2025-01-14 05:04:13.491,13.689
21,2025-01-14 05:03:41.736,2.304
25,2025-01-14 04:58:29.052,4.89
27,2025-01-14 04:54:11.048,2.864
12,2025-01-14 04:52:26.027,4.023
20,2025-01-14 04:50:01.943,3.513
30,2025-01-14 04:47:56.983,2.466
7,2025-01-14 04:46:47.843,2.68
15,2025-01-14 04:46:04.643,2.378
18,2025-01-14 04:42:17.118,3.672
24,2025-01-14 04:41:54.311,7.671
3,2025-01-14 04:40:13.641,6.642
9,2025-01-14 04:39:54.47,1.893
23,2025-01-14 04:39:08.072,1.85
13,2025-01-14 04:37:31.884,3.463
30,2025-01-14 04:37:25.944,2.387
2,2025-01-14 04:36:53.357,2.639
1,2025-01-14 04:36:04.521,2.149
28,2025-01-14 04:34:13.41,5.767
21,2025-01-14 04:33:41.755,6.094
8,2025-01-14 04:33:36.204,2.625
25,2025-01-14 04:28:29.125,2.028
27,2025-01-14 04:24:11.035,1.524
