device,date,location_name,latitude,longitude,pm25_24hr_avg
24,2025-02-18,East 152nd and Darwin,41.564906,-81.579597,3.133938775510204
24,2025-02-19,East 152nd and Darwin,41.564906,-81.579597,2.4654814814814814
24,2025-02-20,East 152nd and Darwin,41.564906,-81.579597,4.8289245283018865
24,2025-02-21,East 152nd and Darwin,41.564906,-81.579597,2.6153846153846154
24,2025-02-22,East 152nd and Darwin,41.564906,-81.579597,12.602599999999999
24,2025-02-23,East 152nd and Darwin,41.564906,-81.579597,10.464654545454545
24,2025-02-24,East 152nd and Darwin,41.564906,-81.579597,10.664529411764706
24,2025-02-25,East 152nd and Darwin,41.564906,-81.579597,9.4883
24,2025-02-26,East 152nd and Darwin,41.564906,-81.579597,17.057444444444442
24,2025-02-27,East 152nd and Darwin,41.564906,-81.579597,36.9614
24,2025-02-28,East 152nd and Darwin,41.564906,-81.579597,6.697925925925926
24,2025-03-01,East 152nd and Darwin,41.564906,-81.579597,2.087890909090909
24,2025-03-02,East 152nd and Darwin,41.564906,-81.579597,2.5968085106382977
24,2025-03-03,East 152nd and Darwin,41.564906,-81.579597,6.4251000000000005
24,2025-03-04,East 152nd and Darwin,41.564906,-81.579597,5.509875
24,2025-03-05,East 152nd and Darwin,41.564906,-81.579597,4.081708333333333
24,2025-03-06,East 152nd and Darwin,41.564906,-81.579597,1.792925925925926
24,2025-03-07,East 152nd and Darwin,41.564906,-81.579597,5.795148148148148
24,2025-03-08,East 152nd and Darwin,41.564906,-81.579597,7.980250000000001
24,2025-03-09,East 152nd and Darwin,41.564906,-81.579597,4.771054545454546
24,2025-03-10,East 152nd and Darwin,41.564906,-81.579597,4.917684210526316
24,2025-03-11,East 152nd and Darwin,41.564906,-81.579597,4.717071428571429
24,2025-03-12,East 152nd and Darwin,41.564906,-81.579597,2.1687368421052633
24,2025-03-13,East 152nd and Darwin,41.564906,-81.579597,6.24106
24,2025-03-14,East 152nd and Darwin,41.564906,-81.579597,9.71270588235294
24,2025-03-15,East 152nd and Darwin,41.564906,-81.579597,9.228235294117647
24,2025-03-16,East 152nd and Darwin,41.564906,-81.579597,5.083970588235294
24,2025-03-17,East 152nd and Darwin,41.564906,-81.579597,2.4728771929824562
24,2025-03-18,East 152nd and Darwin,41.564906,-81.579597,4.579370370370371
24,2025-03-19,East 152nd and Darwin,41.564906,-81.579597,4.651370370370371
24,2025-03-20,East 152nd and Darwin,41.564906,-81.579597,3.36725
24,2025-03-21,East 152nd and Darwin,41.564906,-81.579597,2.6197966101694914
24,2025-03-22,East 152nd and Darwin,41.564906,-81.579597,3.0158
24,2025-03-23,East 152nd and Darwin,41.564906,-81.579597,4.62159649122807
24,2025-03-24,East 152nd and Darwin,41.564906,-81.579597,5.6941851851851855
