"device_number","time","value"
24,2025-01-05 10:46:12.275,4.73
24,2025-01-05 10:16:12.228,7.759
24,2025-01-05 09:46:12.201,5.81
24,2025-01-05 09:16:12.165,10.472
24,2025-01-05 08:46:12.14,11.982
24,2025-01-05 08:16:12.09,12.84
24,2025-01-05 08:09:49.773,9.912
24,2025-01-05 07:46:12.061,9.912
24,2025-01-05 07:16:12.03,11.385
24,2025-01-05 06:46:12.023,9.543
24,2025-01-05 06:16:11.965,6.631
24,2025-01-05 05:46:18.91,9.692
24,2025-01-05 05:16:11.929,11.575
24,2025-01-05 04:46:11.877,7.975
24,2025-01-05 04:44:56.078,7.688
24,2025-01-05 04:16:11.851,7.688
24,2025-01-05 03:46:11.834,4.382
24,2025-01-05 03:16:11.858,2.873
24,2025-01-05 02:46:11.816,2.321
24,2025-01-05 02:16:11.986,3.991
24,2025-01-05 01:46:11.793,5.566
24,2025-01-05 01:36:22.597,6.108
24,2025-01-05 01:16:11.735,6.108
24,2025-01-05 00:46:11.884,8.874
24,2025-01-05 00:16:11.717,5.078
24,2025-01-04 23:46:11.676,2.252
24,2025-01-04 23:16:11.849,4.13
24,2025-01-04 22:46:11.794,3.325
24,2025-01-04 22:16:11.781,1.5
24,2025-01-04 22:09:56.057,1.687
24,2025-01-04 21:46:11.781,1.687
24,2025-01-04 21:16:11.712,1.438
24,2025-01-04 20:46:11.753,3.307
24,2025-01-04 20:16:11.736,1.062
24,2025-01-04 19:46:11.757,2.173
24,2025-01-04 19:16:11.75,2.505
24,2025-01-04 18:46:27.38,1.15
24,2025-01-04 18:43:33.693,1.395
24,2025-01-04 18:16:27.404,1.395
24,2025-01-04 17:46:20.095,2.294
24,2025-01-04 17:16:27.398,1.017
24,2025-01-04 16:46:27.41,1.063
24,2025-01-04 16:16:27.413,0.548
24,2025-01-04 15:46:27.456,0.559
24,2025-01-04 15:42:38.12,2.071
24,2025-01-04 15:16:27.424,2.071
24,2025-01-04 14:46:27.4,1.485
24,2025-01-04 14:16:27.442,1.488
24,2025-01-04 13:46:27.446,1.464
24,2025-01-04 13:16:27.446,1.571
24,2025-01-04 12:46:27.464,1.875
24,2025-01-04 12:41:24.48,2.536
24,2025-01-04 12:16:27.456,2.536
24,2025-01-04 11:46:27.437,9.653
24,2025-01-04 11:16:27.452,0.862
24,2025-01-04 10:46:27.458,1.977
24,2025-01-04 10:16:27.453,3.379
24,2025-01-04 09:46:27.501,4.774
24,2025-01-04 09:35:07.992,2.219
24,2025-01-04 09:16:27.477,2.219
24,2025-01-04 08:46:27.492,2.082
24,2025-01-04 08:16:27.505,1.411
24,2025-01-04 07:46:34.495,3.096
24,2025-01-04 07:16:34.461,1.955
24,2025-01-04 06:46:34.528,2.121
24,2025-01-04 06:30:40.408,3.465
24,2025-01-04 06:29:37.984,3.465
24,2025-01-04 06:16:18.675,3.465
24,2025-01-04 05:46:25.687,3.07
24,2025-01-04 05:16:11.702,1.455
24,2025-01-04 04:46:11.712,2.57
24,2025-01-04 04:16:11.694,0.984
24,2025-01-04 03:46:11.721,3.389
24,2025-01-04 03:16:18.751,1.584
24,2025-01-04 03:01:37.721,1.057
24,2025-01-04 02:46:11.763,1.057
24,2025-01-04 02:16:11.748,1.498
24,2025-01-04 01:46:11.755,1.576
24,2025-01-04 01:16:11.756,2.079
24,2025-01-04 00:46:11.788,1.977
24,2025-01-04 00:16:11.774,0.525
24,2025-01-03 23:47:06.451,1.212
24,2025-01-03 23:46:11.799,1.212
24,2025-01-03 23:16:11.807,2.872
24,2025-01-03 22:46:11.832,0.85
24,2025-01-03 22:16:11.83,0.565
24,2025-01-03 21:46:11.854,0.552
24,2025-01-03 21:16:11.849,1.529
24,2025-01-03 20:46:11.84,1.68
24,2025-01-03 20:20:17.114,1.409
24,2025-01-03 20:16:11.819,1.409
24,2025-01-03 19:46:11.807,2.493
24,2025-01-03 19:16:11.789,3.064
24,2025-01-03 18:46:11.796,1.857
24,2025-01-03 18:16:11.773,5.531
24,2025-01-03 17:46:11.751,7.264
24,2025-01-03 17:16:11.721,11.167
24,2025-01-03 17:00:39.654,6.289
24,2025-01-03 16:46:11.768,6.289
24,2025-01-03 15:46:11.746,11.023
24,2025-01-03 15:16:11.659,10.84
