"location_name","latitude","longitude","device_number","device_eui","time","measure_name","value","Date"
"Fleet Ave. and East 71st St.",41.456319,-81.639257,1,"0004A30B00083D5D",2024-12-10 19:17:53.88,"mc_pm2_5",47.15,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 19:16:27.904,"mc_pm2_5",46.412,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 19:15:28.343,"mc_pm2_5",62.401,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 19:08:35.747,"mc_pm2_5",55.147,2024-12-10
"St. Theodosius Monitoring Site Collocated Sensor",41.476985,-81.682376,7,"0004A30B00084474",2024-12-10 19:03:01.836,"mc_pm2_5",50.143,2024-12-10
"Nottingham Water",41.575635,-81.541699,3,"0004A30B00081BFE",2024-12-10 19:02:36.268,"mc_pm2_5",26.795,2024-12-10
"GT Craig EPA Collocated Sensor",41.49211,-81.67856,9,"0004A30B000864E5",2024-12-10 18:59:25.045,"mc_pm2_5",38.223,2024-12-10
"Metro Health Hospital",41.46308,-81.69823,28,"0004A30B00086AC2",2024-12-10 18:57:05.501,"mc_pm2_5",37.049,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 18:54:46.715,"mc_pm2_5",62.036,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 18:54:38.14,"mc_pm2_5",60.978,2024-12-10
"Lee/Harvard",41.449672,-81.564,23,"0004A30B000818DE",2024-12-10 18:51:12.289,"mc_pm2_5",67.395,2024-12-10
"Lakeview Terrace Community Center",41.49409,-81.70976,12,"0004A30B00085A7A",2024-12-10 18:49:44.026,"mc_pm2_5",42.559,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 18:46:27.927,"mc_pm2_5",38,2024-12-10
"Mound Elementary",41.462862,-81.647249,19,"0004A30B000838D0",2024-12-10 18:40:26.198,"mc_pm2_5",72.498,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 18:38:35.769,"mc_pm2_5",39.41,2024-12-10
"Bessemer by Tremco",41.46717,-81.63003,25,"0004A30B00085131",2024-12-10 18:38:19.385,"mc_pm2_5",50.979,2024-12-10
"Nottingham Water",41.575635,-81.541699,3,"0004A30B00081BFE",2024-12-10 18:32:36.278,"mc_pm2_5",45.233,2024-12-10
"GT Craig EPA Collocated Sensor",41.49211,-81.67856,9,"0004A30B000864E5",2024-12-10 18:29:25.024,"mc_pm2_5",57.809,2024-12-10
"East 56th Street and Ferro Avenue",41.446336,-81.650709,8,"0004A30B000838E4",2024-12-10 18:28:26.291,"mc_pm2_5",61.187,2024-12-10
"Metro Health Hospital",41.46308,-81.69823,28,"0004A30B00086AC2",2024-12-10 18:27:05.42,"mc_pm2_5",63.735,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 18:24:46.543,"mc_pm2_5",62.843,2024-12-10
"Buckeye Rd. and East 89th St",41.486323,-81.624582,21,"0004A30B00085575",2024-12-10 18:24:07.507,"mc_pm2_5",51.645,2024-12-10
"Lakeview Terrace Community Center",41.49409,-81.70976,12,"0004A30B00085A7A",2024-12-10 18:19:44.076,"mc_pm2_5",48.673,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 18:16:28.01,"mc_pm2_5",33.98,2024-12-10
"Lee/Harvard",41.449672,-81.564,23,"0004A30B000818DE",2024-12-10 18:12:45.109,"mc_pm2_5",45.343,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 18:08:35.811,"mc_pm2_5",59.359,2024-12-10
"St. Theodosius Monitoring Site Collocated Sensor",41.476985,-81.682376,7,"0004A30B00084474",2024-12-10 18:03:01.94,"mc_pm2_5",56.36,2024-12-10
"Nottingham Water",41.575635,-81.541699,3,"0004A30B00081BFE",2024-12-10 18:02:36.298,"mc_pm2_5",53.444,2024-12-10
"GT Craig EPA Collocated Sensor",41.49211,-81.67856,9,"0004A30B000864E5",2024-12-10 17:59:25.023,"mc_pm2_5",35.678,2024-12-10
"East 56th Street and Ferro Avenue",41.446336,-81.650709,8,"0004A30B000838E4",2024-12-10 17:58:26.295,"mc_pm2_5",65.61,2024-12-10
"Metro Health Hospital",41.46308,-81.69823,28,"0004A30B00086AC2",2024-12-10 17:57:05.419,"mc_pm2_5",65.438,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 17:54:46.329,"mc_pm2_5",59.719,2024-12-10
"Buckeye Rd. and East 89th St",41.486323,-81.624582,21,"0004A30B00085575",2024-12-10 17:54:07.533,"mc_pm2_5",48.747,2024-12-10
"Lakeview Terrace Community Center",41.49409,-81.70976,12,"0004A30B00085A7A",2024-12-10 17:49:44.157,"mc_pm2_5",47.327,2024-12-10
"Fleet Ave. and East 71st St.",41.456319,-81.639257,1,"0004A30B00083D5D",2024-12-10 17:47:54.01,"mc_pm2_5",40.52,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 17:47:19.254,"mc_pm2_5",43.409,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 17:46:28.03,"mc_pm2_5",37.268,2024-12-10
"Coit Road and East 131st Street",41.552492,-81.591944,15,"0004A30B00085FFB",2024-12-10 17:45:39.379,"mc_pm2_5",48.132,2024-12-10
"Lee/Harvard",41.449672,-81.564,23,"0004A30B000818DE",2024-12-10 17:42:44.792,"mc_pm2_5",46.847,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 17:38:35.84,"mc_pm2_5",40.991,2024-12-10
"Buckeye Rd. and East 89th St",41.486323,-81.624582,21,"0004A30B00085575",2024-12-10 17:37:53.597,"mc_pm2_5",33.032,2024-12-10
"Collinwood Recreation Center",41.57947,-81.56615,2,"0004A30B00084BC5",2024-12-10 17:37:48.636,"mc_pm2_5",34.31,2024-12-10
"St. Theodosius Monitoring Site Collocated Sensor",41.476985,-81.682376,7,"0004A30B00084474",2024-12-10 17:33:01.92,"mc_pm2_5",76.381,2024-12-10
"Nottingham Water",41.575635,-81.541699,3,"0004A30B00081BFE",2024-12-10 17:32:36.315,"mc_pm2_5",28.635,2024-12-10
